Serialnumber;Postal code;Measurement source type;Measurement date;Measurement time;Unit;Measurement value;Correction;House type;Residents;Energy label;Solar panels
1011216;7548BM;electricity;9-12-2020;16:00:00;kWh;0,7198;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;17:00:00;kWh;0,551;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;18:00:00;kWh;2,3744;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;19:00:00;kWh;1,4946;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;20:00:00;kWh;0,6216;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;21:00:00;kWh;0,4108;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;22:00:00;kWh;0,5058;;detachedHouse;3;c;12
1011216;7548BM;electricity;9-12-2020;23:00:00;kWh;0,3393;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;00:00:00;kWh;0,3035;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;01:00:00;kWh;0,2342;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;02:00:00;kWh;0,2456;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;03:00:00;kWh;0,251;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;04:00:00;kWh;0,2169;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;05:00:00;kWh;0,2112;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;06:00:00;kWh;0,253;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;07:00:00;kWh;0,2356;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;08:00:00;kWh;0,3211;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;09:00:00;kWh;0,401;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;10:00:00;kWh;0,1715;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;11:00:00;kWh;0,1356;;detachedHouse;3;c;12
1011216;7548BM;electricity;10-12-2020;12:00:00;kWh;0,1924;;detachedHouse;3;c;12
